province;red;green;blue;x;x,
#프로빈스;RGB(R);RGB(G);RGB(B);고유명칭;x,
#조선,
#조선 8200 - 특수,
8201;red;green;blue;한양;x,#한양/경기도
8202;red;green;blue;개성;x,#한양/경기도
8203;red;green;blue;강화;x,#한양/경기도
8204;red;green;blue;대마;x,#한양/경상도
#조선 8210 - 평안도,
8211;red;green;blue;평양;x,
8212;red;green;blue;영변;x,
8213;red;green;blue;안주;x,
8214;red;green;blue;정주;x,
8215;red;green;blue;의주;x,
8216;red;green;blue;사군;x,
#조선 8220 - 함길도,
8221;red;green;blue;함흥;x,
8222;red;green;blue;길주;x,
8223;red;green;blue;육진;x,
8224;red;green;blue;영흥;x,
#조선 8230 - 황해도,
8231;red;green;blue;황주;x,
8232;red;green;blue;해주;x,
#조선 8240 - 경기도,
8241;red;green;blue;광주;x,
8242;red;green;blue;여주;x,
8243;red;green;blue;파주;x,
8244;red;green;blue;양주;x,
#조선 8250 - 강원도,
8251;red;green;blue;강릉;x,
8252;red;green;blue;원주;x,
#조선 8260 - 충청도,
8261;red;green;blue;충주;x,
8262;red;green;blue;청주;x,
8263;red;green;blue;공주;x,
8264;red;green;blue;홍주;x,
#조선 8270 - 전라도,
8271;red;green;blue;전주;x,
8272;red;green;blue;광주;x,
8273;red;green;blue;나주;x,
8274;red;green;blue;제주;x,
#조선 8280 - 경상도,
8281;red;green;blue;경주;x,
8282;red;green;blue;창원;x,
8283;red;green;blue;안동;x,
8284;red;green;blue;상주;x,
8285;red;green;blue;진주;x,
8286;red;green;blue;성주;x,
